385's, x : 65.5446091
386's, x : 65.3069305
387's, x : 65.2342758
388's, x : 65.5912399
389's, x : 65.3496475
390's, x : 65.3069305
391's, x : 65.5446091
392's, x : 65.6290588
393's, x : 65.7605667
394's, x : 65.4581070
395's, x : 65.3660965
396's, x : 65.7605667
397's, x : 65.8025818
398's, x : 65.5446091
399's, x : 65.4581070
400's, x : 65.6290588
401's, x : 65.3660965
402's, x : 65.2213135
403's, x : 65.6185303
404's, x : 65.6185303
405's, x : 65.7323074
406's, x : 66.2529449
407's, x : 66.2178574
408's, x : 66.2529449
409's, x : 65.7323074
410's, x : 65.8244095
411's, x : 66.3220367
412's, x : 65.9136047
413's, x : 65.9113998
414's, x : 65.4907913
415's, x : 65.5406189
416's, x : 65.8025818
417's, x : 65.8228531
418's, x : 65.5912399
419's, x : 65.5446091
420's, x : 65.8774109
421's, x : 65.9136047
422's, x : 65.5406189
423's, x : 65.5921631
424's, x : 66.2261963
425's, x : 66.3102417
426's, x : 65.7605667
427's, x : 65.6290588
428's, x : 66.3102417
429's, x : 66.4217148
430's, x : 65.8025818
431's, x : 65.7605667
432's, x : 66.2178574
433's, x : 66.2261963
434's, x : 65.6290588
435's, x : 65.6185303
436's, x : 66.4217148
437's, x : 66.4446030
438's, x : 65.8228531
439's, x : 65.8025818
440's, x : 67.1652908
441's, x : 67.2509613
442's, x : 66.8448105
443's, x : 66.7727127
444's, x : 67.2509613
445's, x : 67.4346542
446's, x : 66.9488220
447's, x : 66.8448105
448's, x : 67.2437897
449's, x : 67.1652908
450's, x : 66.7727127
451's, x : 66.7663574
452's, x : 67.2492294
453's, x : 67.2437897
454's, x : 66.7663574
455's, x : 66.7776718
456's, x : 67.2663956
457's, x : 67.2492294
458's, x : 66.7776718
459's, x : 66.8166428
460's, x : 67.3084335
461's, x : 66.8836975
462's, x : 66.9667206
463's, x : 67.4594193
464's, x : 67.4346542
465's, x : 67.5328522
466's, x : 66.9970322
467's, x : 66.9488220
468's, x : 67.5328522
469's, x : 67.5064774
470's, x : 67.0001755
471's, x : 66.9970322
472's, x : 67.5064774
473's, x : 67.4594193
474's, x : 66.9667206
475's, x : 67.0001755
476's, x : 67.4641266
477's, x : 67.5503235
478's, x : 67.2509613
479's, x : 67.1652908
480's, x : 67.5503235
481's, x : 67.6376801
482's, x : 67.4346542
483's, x : 67.2509613
484's, x : 67.4217911
485's, x : 67.4641266
486's, x : 67.1652908
487's, x : 67.2437897
488's, x : 67.4674683
489's, x : 67.4217911
490's, x : 67.2437897
491's, x : 67.2492294
492's, x : 67.5073090
493's, x : 67.4674683
494's, x : 67.2492294
495's, x : 67.2663956
496's, x : 67.5754395
497's, x : 67.3084335
498's, x : 67.4594193
499's, x : 67.6763306
500's, x : 67.6376801
501's, x : 67.6788712
502's, x : 67.5328522
503's, x : 67.4346542
504's, x : 67.6788712
505's, x : 67.7235184
506's, x : 67.5064774
507's, x : 67.5328522
508's, x : 67.7235184
509's, x : 67.6763306
510's, x : 67.4594193
511's, x : 67.5064774
512's, x : 67.7321396
513's, x : 67.8307419
514's, x : 67.5503235
515's, x : 67.4641266
516's, x : 67.8307419
517's, x : 67.8131332
518's, x : 67.6376801
519's, x : 67.5503235
520's, x : 67.6281586
521's, x : 67.7321396
522's, x : 67.4641266
523's, x : 67.4217911
524's, x : 67.6190262
525's, x : 67.6281586
526's, x : 67.4217911
527's, x : 67.4674683
528's, x : 67.7169037
529's, x : 67.6190262
530's, x : 67.4674683
531's, x : 67.5073090
532's, x : 67.8540192
533's, x : 67.5754395
534's, x : 67.6763306
535's, x : 67.8858566
536's, x : 67.8131332
537's, x : 67.8454666
538's, x : 67.6788712
539's, x : 67.6376801
540's, x : 67.8454666
541's, x : 67.9156265
542's, x : 67.7235184
543's, x : 67.6788712
544's, x : 67.9156265
545's, x : 67.8858566
546's, x : 67.6763306
547's, x : 67.7235184
548's, x : 68.0792389
549's, x : 68.1987610
550's, x : 67.8307419
551's, x : 67.7321396
552's, x : 68.1987610
553's, x : 68.2361221
554's, x : 67.8131332
555's, x : 67.8307419
556's, x : 67.9330978
557's, x : 68.0792389
558's, x : 67.7321396
559's, x : 67.6281586
560's, x : 67.9615402
561's, x : 67.9330978
562's, x : 67.6281586
563's, x : 67.6190262
564's, x : 68.0685577
565's, x : 67.9615402
566's, x : 67.6190262
567's, x : 67.7169037
568's, x : 68.0360260
569's, x : 67.8540192
570's, x : 67.8858566
571's, x : 68.1823578
572's, x : 68.2361221
573's, x : 68.1378479
574's, x : 67.8454666
575's, x : 67.8131332
576's, x : 68.1378479
577's, x : 68.2111130
578's, x : 67.9156265
579's, x : 67.8454666
580's, x : 68.2111130
581's, x : 68.1823578
582's, x : 67.8858566
583's, x : 67.9156265
584's, x : 65.5921631
585's, x : 65.5912399
586's, x : 65.8228531
587's, x : 65.8774109
588's, x : 66.4681091
589's, x : 65.8774109
590's, x : 65.8228531
591's, x : 66.4446030
592's, x : 65.9136047
593's, x : 65.8774109
594's, x : 66.4681091
595's, x : 66.4394302
596's, x : 65.5921631
597's, x : 65.2809296
598's, x : 65.3496475
599's, x : 65.5912399
600's, x : 65.5406189
601's, x : 65.1534348
602's, x : 65.2809296
603's, x : 65.5921631
604's, x : 66.4018173
605's, x : 65.9113998
606's, x : 65.9136047
607's, x : 66.4394302
608's, x : 65.4907913
609's, x : 65.0527344
610's, x : 65.1534348
611's, x : 65.5406189
612's, x : 65.6185303
613's, x : 65.2213135
614's, x : 65.3372879
615's, x : 65.7323074
616's, x : 65.4144058
617's, x : 65.8244095
618's, x : 65.7323074
619's, x : 65.3372879
620's, x : 67.8540192
621's, x : 68.0360260
622's, x : 68.0685577
623's, x : 67.7169037
624's, x : 67.5754395
625's, x : 67.8540192
626's, x : 67.7169037
627's, x : 67.5073090
628's, x : 67.3084335
629's, x : 67.5754395
630's, x : 67.5073090
631's, x : 67.2663956
632's, x : 66.8836975
633's, x : 67.3084335
634's, x : 67.2663956
635's, x : 66.8166428
636's, x : 65.9113998
637's, x : 66.4018173
638's, x : 66.3220367
639's, x : 65.8244095
640's, x : 65.4907913
641's, x : 65.9113998
642's, x : 65.8244095
643's, x : 65.4144058
644's, x : 65.0527344
645's, x : 65.4907913
646's, x : 65.4144058
647's, x : 65.0357285
648's, x : 64.2642212
649's, x : 64.3621292
650's, x : 65.0527344
651's, x : 65.0357285
652's, x : 63.7438545
653's, x : 63.8542747
654's, x : 64.3621292
655's, x : 64.2642212
656's, x : 62.9422150
657's, x : 63.4012756
658's, x : 63.2847252
